regla,a...z,A...Z,0...9,true,false,==,===,!=,>=,<=,{,},(,),.,_,;,while,do,$
P,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,W LA LC F,DR LA LC W F,-1
DR,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,do,-1
W,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,WD PA C PC,-1,-1
C,L RI OP ORL,L RI OP ORL,D NE NO OP OD,true,false,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
RI, L RI, L RI,D RI,-1,-1,vacio,vacio,vacio,vacio,vacio,-1,-1,-1,vacio,-1,S RI,-1,-1,-1,-1
ORL,L RI,L RI ,D NE NO,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,vacio,-1,-1,-1,-1,-1,-1
OD,L RI,L RI ,D NE NO,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,vacio,-1,-1,-1,-1,-1,-1
OP,-1,-1,-1,-1,-1,==,===,!=,>=,<=,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
WD,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,while,-1,-1
PA,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,(,-1,-1,-1,-1,-1,-1,-1
PC,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,),-1,-1,-1,-1,-1,-1
LA,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,{,-1,-1,-1,-1,-1,-1,-1,-1,-1
LC,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,},-1,-1,-1,-1,-1,-1,-1,-1
L,a...z,A...Z,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
D ,-1,-1,0...9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
SP,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,-1,-1,-1,-1,-1
S ,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,_,-1,-1,-1,-1
NE,-1,-1,D NE,-1,-1,vacio,vacio,vacio,vacio,vacio,-1,-1,-1,vacio,vacio,-1,-1,-1,-1,-1
NO,-1,-1,-1,-1,-1,vacio,vacio,vacio,vacio,vacio,-1,-1,-1,vacio,SP NE,-1,-1,-1,-1,-1
F,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,;,-1,-1,$